temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,visibility,dew_point,uvi,aqi,pm2_5,pm10,no2,so2,co,o3,nh3,no,unix_time,timestamp,hour,hour_sin,hour_cos,day_of_week,dow_sin,dow_cos,day_of_month,dom_sin,dom_cos,month,month_sin,month_cos,week_of_year,woy_sin,woy_cos,is_weekend,is_night,is_rush_hour,season_winter,season_spring,season_summer,season_fall,pm2_5_lag_1h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm10_lag_1h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,temp_lag_1h,temp_lag_3h,temp_lag_6h,temp_lag_12h,temp_lag_24h,temp_lag_48h,temp_lag_72h,humidity_lag_1h,humidity_lag_3h,humidity_lag_6h,humidity_lag_12h,humidity_lag_24h,humidity_lag_48h,humidity_lag_72h,wind_speed_lag_1h,wind_speed_lag_3h,wind_speed_lag_6h,wind_speed_lag_12h,wind_speed_lag_24h,wind_speed_lag_48h,wind_speed_lag_72h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_rolling_mean_48h,pm2_5_rolling_std_48h,pm2_5_rolling_min_48h,pm2_5_rolling_max_48h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_rolling_mean_48h,pm10_rolling_std_48h,pm10_rolling_min_48h,pm10_rolling_max_48h,temp_rolling_mean_6h,temp_rolling_std_6h,temp_rolling_min_6h,temp_rolling_max_6h,temp_rolling_mean_12h,temp_rolling_std_12h,temp_rolling_min_12h,temp_rolling_max_12h,temp_rolling_mean_24h,temp_rolling_std_24h,temp_rolling_min_24h,temp_rolling_max_24h,temp_rolling_mean_48h,temp_rolling_std_48h,temp_rolling_min_48h,temp_rolling_max_48h,humidity_rolling_mean_6h,humidity_rolling_std_6h,humidity_rolling_min_6h,humidity_rolling_max_6h,humidity_rolling_mean_12h,humidity_rolling_std_12h,humidity_rolling_min_12h,humidity_rolling_max_12h,humidity_rolling_mean_24h,humidity_rolling_std_24h,humidity_rolling_min_24h,humidity_rolling_max_24h,humidity_rolling_mean_48h,humidity_rolling_std_48h,humidity_rolling_min_48h,humidity_rolling_max_48h,pm2_5_diff_1h,pm2_5_pct_change_1h,pm2_5_diff_6h,pm2_5_pct_change_6h,pm2_5_diff_12h,pm2_5_pct_change_12h,pm2_5_diff_24h,pm2_5_pct_change_24h,pm10_diff_1h,pm10_pct_change_1h,pm10_diff_6h,pm10_pct_change_6h,pm10_diff_12h,pm10_pct_change_12h,pm10_diff_24h,pm10_pct_change_24h,temp_diff_1h,temp_pct_change_1h,temp_diff_6h,temp_pct_change_6h,temp_diff_12h,temp_pct_change_12h,temp_diff_24h,temp_pct_change_24h,humidity_diff_1h,humidity_pct_change_1h,humidity_diff_6h,humidity_pct_change_6h,humidity_diff_12h,humidity_pct_change_12h,humidity_diff_24h,humidity_pct_change_24h,pressure_diff_1h,pressure_pct_change_1h,pressure_diff_6h,pressure_pct_change_6h,pressure_diff_12h,pressure_pct_change_12h,pressure_diff_24h,pressure_pct_change_24h,temp_humidity,wind_u,wind_v,pressure_gradient,pm25_pm10_ratio,visibility_inv,target_1h,target_6h,target_12h,target_24h,target_48h,target_72h,observation_id,event_time
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,119.55,148.98,58.26,5.42,2002.72,5.28,11.15,0.96,1736031600,2025-01-04 23:00:00,23,-0.25881904510252157,0.9659258262890681,5,-0.9749279121818236,-0.2225209339563146,4,0.72479278722912,0.6889669190756866,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,123.65,148.7,213.08,149.25,100.96,184.19,197.84,155.09,180.92,244.49,167.58,150.22,235.39,241.36,15.88,15.88,17.64,17.64,17.64,17.33,15.44,56.0,56.0,36.0,36.0,36.0,54.0,56.0,1.79,1.79,2.24,2.24,2.24,0.67,2.66,146.93,27.246371501542285,119.55,190.58,179.07583333333335,41.00294345494821,119.55,231.23,138.0,53.481615288929255,68.65,231.23,205.48666666666665,102.6977929559062,68.65,433.44,178.45166666666668,27.697577090182776,148.98,222.4,208.74833333333333,40.55246631516276,148.98,261.59,164.79083333333332,54.84691778559409,96.48,261.59,249.75145833333332,121.3382187250166,96.48,525.91,16.173333333333336,0.7185169912164068,15.88,17.64,16.906666666666666,0.9062744249582121,15.88,17.64,17.273333333333333,0.7301379659183312,15.88,17.64,17.33395833333333,0.522232277266024,15.88,17.64,52.666666666666664,8.16496580927726,36.0,56.0,44.333333333333336,10.298573010888699,36.0,56.0,40.166666666666664,8.297022339981236,36.0,56.0,45.208333333333336,9.323861708708487,36.0,56.0,-4.1000000000000085,-0.03315810756166604,-93.53000000000002,-0.4389431199549465,-29.700000000000003,-0.1989949748743719,18.590000000000003,0.1841323296354993,-6.110000000000014,-0.039396479463537415,-95.51000000000002,-0.3906499243322836,-18.600000000000023,-0.11099176512710363,-1.240000000000009,-0.00825455997869795,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8024513192957491,1.244090569793481,118.96,204.7,80.95,172.0,38.43,149.46,28,2025-01-04 23:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,118.96,146.88,53.47,5.13,1922.61,5.81,10.01,0.95,1736035200,2025-01-05 00:00:00,0,0.0,1.0,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,119.55,133.77,190.58,171.91,80.98,172.07,186.03,148.98,166.44,222.4,193.03,117.78,220.68,224.48,15.88,15.88,17.64,17.64,17.64,17.33,15.44,56.0,56.0,36.0,36.0,36.0,54.0,56.0,1.79,1.79,2.24,2.24,2.24,0.67,2.66,134.99333333333334,18.622127339987962,118.96,165.33,174.66333333333333,44.54066320552333,118.96,231.23,139.5825,52.269223985888146,68.65,231.23,204.38020833333334,103.34951546458346,68.65,433.44,165.86499999999998,19.751192115919135,146.88,196.88,204.9025,44.202701711958156,146.88,261.59,166.00333333333333,54.078741597356256,96.48,261.59,248.21395833333335,122.17907993335017,96.48,525.91,15.88,0.0,15.88,15.88,16.76,0.9191300234460871,15.88,17.64,17.2,0.7784935284978545,15.88,17.64,17.30375,0.5628257921776887,15.88,17.64,56.0,0.0,56.0,56.0,46.0,10.444659357341834,36.0,56.0,41.0,8.846517369293975,36.0,56.0,45.25,9.368348704377325,36.0,56.0,-0.5900000000000034,-0.004935173567545026,-71.62000000000002,-0.37580018889705114,-52.95,-0.30801000523529753,37.97999999999999,0.46900469251667065,-2.0999999999999943,-0.014095851792186864,-75.52000000000001,-0.339568345323741,-46.150000000000006,-0.23908200797803458,29.099999999999994,0.2470708099847172,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8099073399554741,1.244090569793481,118.51,192.21,76.89,161.05,42.64,138.08,29,2025-01-05 00:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,118.51,145.35,52.78,5.3,1976.01,3.35,9.88,2.71,1736038800,2025-01-05 01:00:00,1,0.25881904510252074,0.9659258262890683,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,118.96,123.65,165.33,202.19,68.65,174.68,179.19,146.88,155.09,196.88,227.26,96.48,223.96,211.97,15.88,15.88,15.88,17.64,17.64,17.33,15.44,56.0,56.0,56.0,36.0,36.0,54.0,56.0,1.79,1.79,1.79,2.24,2.24,0.67,2.66,127.19,11.999608326943992,118.51,148.7,167.69,46.35292321859614,118.51,231.23,141.66,50.28038661606391,73.89,231.23,203.21,104.00885907439539,68.65,433.44,157.27666666666667,13.906301689040463,145.35,180.92,198.07666666666668,46.69067034183254,145.35,261.59,168.03958333333335,52.2357912845512,99.8,261.59,246.57625,123.03495396137083,96.48,525.91,15.88,0.0,15.88,15.88,16.613333333333333,0.9062744249582124,15.88,17.64,17.12666666666667,0.8171778938180624,15.88,17.64,17.273541666666667,0.5991287631408726,15.88,17.64,56.0,0.0,56.0,56.0,47.666666666666664,10.298573010888717,36.0,56.0,41.833333333333336,9.286112429750862,36.0,56.0,45.291666666666664,9.41243707183243,36.0,56.0,-0.44999999999998863,-0.0037827841291189213,-46.82000000000001,-0.2831911933708341,-83.67999999999999,-0.41386814382511494,49.86,0.7262927895120175,-1.5300000000000011,-0.01041666666666663,-51.53,-0.2617330353514832,-81.91,-0.3604241837542902,48.86999999999999,0.5065298507462686,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8153366677903833,1.244090569793481,132.57,68.97,90.38,154.86,50.1,132.2,30,2025-01-05 01:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,132.57,162.55,56.21,7.33,2563.48,0.18,13.81,20.34,1736042400,2025-01-05 02:00:00,2,0.49999999999999994,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,118.51,119.55,148.7,224.85,73.89,203.01,191.45,145.35,148.98,180.92,253.41,99.8,258.55,224.49,15.88,15.88,15.88,17.64,17.64,17.33,15.44,56.0,56.0,56.0,36.0,36.0,54.0,56.0,1.79,1.79,1.79,2.24,2.24,0.67,2.66,124.50166666666667,6.96928236382567,118.51,133.77,160.0,43.57964912871367,118.51,231.23,144.105,48.22640445810273,81.12,231.23,201.74249999999998,104.50747798755428,68.65,433.44,154.215,8.711878672246412,145.35,166.44,190.505,44.202643174773456,145.35,261.59,170.65416666666667,50.20251214194689,104.57,261.59,244.57625,123.6150713049321,96.48,525.91,15.88,0.0,15.88,15.88,16.46666666666667,0.8665640964945059,15.88,17.64,17.053333333333335,0.8475164057238137,15.88,17.64,17.243333333333332,0.6318811271633807,15.88,17.64,56.0,0.0,56.0,56.0,49.333333333333336,9.847319278346598,36.0,56.0,42.666666666666664,9.630868246861656,36.0,56.0,45.333333333333336,9.456132386780117,36.0,56.0,14.059999999999988,0.11863977723398866,-16.129999999999995,-0.10847343644922658,-92.28,-0.41040693795863914,58.67999999999999,0.7941534713763703,17.200000000000017,0.1183350533195735,-18.369999999999976,-0.10153659075834609,-90.85999999999999,-0.3585493863699143,62.750000000000014,0.6287575150300604,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8155594244267952,1.244090569793481,161.74,66.26,125.03,168.21,67.09,141.73,31,2025-01-05 02:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,161.74,198.2,63.06,10.01,3845.21,0.04,18.49,67.06,1736046000,2025-01-05 03:00:00,3,0.7071067811865476,0.7071067811865476,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,132.57,118.96,133.77,231.23,87.14,249.17,221.69,162.55,146.88,166.44,261.59,115.55,313.73,258.8,15.88,15.88,15.88,17.64,17.64,17.33,15.44,56.0,56.0,56.0,36.0,36.0,54.0,56.0,1.79,1.79,1.79,2.24,2.24,0.67,2.66,129.16333333333333,16.81225227822642,118.51,161.74,154.20916666666668,37.438378087035936,118.51,224.07,147.21333333333334,46.7775402876456,81.12,231.23,199.92104166666664,104.42515298283062,68.65,433.44,159.50833333333333,19.982980174804016,145.35,198.2,185.2225,38.333332783267224,145.35,254.49,174.09791666666663,49.080412720986004,104.57,261.59,242.16937500000003,123.3644215996751,96.48,525.91,15.88,0.0,15.88,15.88,16.320000000000004,0.7959899496853001,15.88,17.64,16.98,0.8703822248824378,15.88,17.64,17.213125,0.6616104023276091,15.88,17.64,56.0,0.0,56.0,56.0,51.0,9.045340337332895,36.0,56.0,43.5,9.890707100936913,36.0,56.0,45.375,9.4994400730847,36.0,56.0,29.170000000000016,0.2200346986497701,27.97,0.20909022949839273,-69.48999999999998,-0.30052328850062704,74.60000000000001,0.8560936424145056,35.64999999999998,0.21931713318978763,31.75999999999999,0.19081951453977397,-63.389999999999986,-0.2423257769792423,82.64999999999999,0.7152747728256166,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8160402823396452,1.244090569793481,189.89,68.85,163.34,196.69,88.1,152.52,32,2025-01-05 03:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,189.89,232.47,73.34,11.32,5126.95,1.11,21.28,111.76,1736049600,2025-01-05 04:00:00,4,0.8660254037844386,0.5000000000000001,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,161.74,118.51,123.65,224.07,88.7,300.14,263.54,198.2,145.35,155.09,254.49,118.98,373.38,307.0,15.88,15.88,15.88,17.64,17.64,17.33,15.44,56.0,56.0,56.0,36.0,36.0,54.0,56.0,1.79,1.79,1.79,2.24,2.24,0.67,2.66,140.20333333333335,29.45946616398071,118.51,189.89,151.36083333333335,32.63180753312265,118.51,213.08,151.42958333333334,45.82482035631339,81.12,231.23,197.62416666666664,103.38117269298061,68.65,433.44,172.405,35.50362389953944,145.35,232.47,183.38750000000002,35.10739552365751,145.35,244.49,178.82666666666668,49.00623231587088,104.57,261.59,239.23375,121.84284219497256,96.48,525.91,15.88,0.0,15.88,15.88,16.173333333333336,0.6850790708621456,15.88,17.64,16.906666666666666,0.8863538731261886,15.88,17.64,17.182916666666667,0.6887081904778111,15.88,17.64,56.0,0.0,56.0,56.0,52.666666666666664,7.784989441615224,36.0,56.0,44.333333333333336,10.072203103706796,36.0,56.0,45.416666666666664,9.542365408464104,36.0,56.0,28.149999999999977,0.1740447632001978,66.23999999999998,0.5357056207035986,-34.18000000000001,-0.15254161645914222,101.18999999999998,1.1408117249154452,34.27000000000001,0.17290615539858734,77.38,0.49893610161841506,-22.02000000000001,-0.08652599316279619,113.49,0.953857791225416,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8168330673503361,1.244090569793481,204.7,76.07,205.49,221.16,101.27,132.45,33,2025-01-05 04:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,204.7,251.09,80.88,11.68,5767.82,4.25,26.85,130.53,1736053200,2025-01-05 05:00:00,5,0.9659258262890683,0.25881904510252074,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,1,0,1,0,0,0,189.89,132.57,119.55,213.08,84.78,334.17,287.23,232.47,162.55,148.98,244.49,114.94,411.42,336.19,15.88,15.88,15.88,17.64,17.64,17.33,15.44,56.0,56.0,56.0,36.0,36.0,54.0,56.0,1.79,1.79,1.79,2.24,2.24,0.67,2.66,154.395,37.05169402335136,118.51,204.7,150.6625,31.25138924184693,118.51,204.7,156.42625,44.76722197754675,81.12,231.23,194.926875,101.41304075269335,68.65,433.44,189.42333333333332,45.18272486987278,145.35,251.09,183.9375,36.18676858265362,145.35,251.09,184.49958333333333,49.169256962594304,104.57,261.59,235.89354166666666,119.19087191041199,96.48,525.91,15.88,0.0,15.88,15.88,16.026666666666667,0.5080682368868786,15.88,17.64,16.833333333333332,0.8958001847591304,15.88,17.64,17.152708333333333,0.7134743866142811,15.88,17.64,56.0,0.0,56.0,56.0,54.333333333333336,5.773502691896265,36.0,56.0,45.166666666666664,10.17954755408112,36.0,56.0,45.458333333333336,9.584913529911804,36.0,56.0,14.810000000000002,0.07799252198641327,85.14999999999999,0.712254286909243,-8.380000000000024,-0.03932795194293237,119.91999999999999,1.41448454824251,18.620000000000005,0.08009635651912084,102.11000000000001,0.6853940126191436,6.599999999999994,0.026994969119391365,136.15,1.1845310596833132,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8152422826783914,1.244090569793481,192.21,80.95,243.6,226.22,102.51,124.26,34,2025-01-05 05:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,5,192.21,235.13,89.11,13.59,5447.39,9.92,26.35,114.44,1736056800,2025-01-05 06:00:00,6,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,0,0,1,0,0,0,204.7,161.74,118.96,190.58,81.12,341.88,280.28,251.09,198.2,146.88,222.4,106.51,412.9,330.81,15.88,15.88,15.88,17.64,17.64,17.33,15.44,56.0,56.0,56.0,36.0,36.0,54.0,56.0,1.79,1.79,1.79,2.24,2.24,0.67,2.66,166.60333333333332,35.05485624940876,118.51,204.7,150.79833333333332,31.4436135540002,118.51,204.7,161.055,42.31847854173096,88.56,231.23,191.80875,99.07249633636543,68.65,433.44,204.13166666666666,42.868512648173656,145.35,251.09,184.99833333333333,37.57671929976478,145.35,251.09,189.85875,47.27207653688063,104.57,261.59,232.19000000000003,116.30066716480512,96.48,525.91,15.88,0.0,15.88,15.88,15.88,0.0,15.88,15.88,16.76,0.8989268964812385,15.88,17.64,17.1225,0.7361443544837603,15.88,17.64,56.0,0.0,56.0,56.0,56.0,0.0,56.0,56.0,46.0,10.215078369105065,36.0,56.0,45.5,9.62708943886103,36.0,56.0,-12.48999999999998,-0.061016121152906555,73.25000000000001,0.6157531943510426,1.6299999999999955,0.008552838702906795,111.09,1.3694526627218933,-15.960000000000008,-0.06356286590465576,88.25,0.6008306100217866,12.72999999999999,0.05723920863309351,128.62,1.207586142146277,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8174592035928908,1.244090569793481,68.97,76.89,267.52,206.91,91.2,116.57,35,2025-01-05 06:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,4,68.97,85.7,48.67,33.38,1575.47,65.8,7.35,13.19,1736060400,2025-01-05 07:00:00,7,0.9659258262890683,-0.25881904510252063,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,0,1,1,0,0,0,192.21,189.89,118.51,165.33,88.56,171.67,141.84,235.13,232.47,145.35,196.88,104.57,204.01,167.98,15.88,15.88,15.88,15.88,17.64,17.33,15.44,56.0,56.0,56.0,56.0,36.0,54.0,56.0,1.79,1.79,1.79,1.79,2.24,0.67,2.66,158.34666666666666,50.900841905284004,68.97,204.7,142.76833333333335,38.83138979399658,68.97,204.7,160.23875,43.93560765607645,68.97,231.23,189.66916666666668,100.6136440101088,68.65,433.44,194.19000000000003,61.91332942105404,85.7,251.09,175.73333333333332,46.924514301420565,85.7,251.09,189.0725,48.88183171423852,85.7,261.59,229.7252083333333,118.1495916019197,85.7,525.91,15.88,0.0,15.88,15.88,15.88,0.0,15.88,15.88,16.686666666666667,0.895800184759131,15.88,17.64,17.092291666666664,0.7569064687808417,15.88,17.64,56.0,0.0,56.0,56.0,56.0,0.0,56.0,56.0,46.833333333333336,10.179547554081106,36.0,56.0,45.541666666666664,9.668898006106078,36.0,56.0,-123.24000000000001,-0.6411737162478539,-49.540000000000006,-0.4180237954602988,-96.36000000000001,-0.5828343313373254,-19.590000000000003,-0.22120596205962062,-149.43,-0.6355207757410795,-59.64999999999999,-0.4103887168902648,-111.17999999999999,-0.5647094676960585,-18.86999999999999,-0.18045328488094092,0.0,0.0,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8047747400847131,1.244090569793481,66.26,90.38,264.7,44.14,51.55,81.26,36,2025-01-05 07:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,4,66.26,82.37,36.67,38.62,1174.93,89.41,4.81,7.1,1736064000,2025-01-05 08:00:00,8,0.8660254037844387,-0.4999999999999998,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,0,1,1,0,0,0,68.97,204.7,132.57,148.7,108.41,189.33,100.23,85.7,251.09,162.55,180.92,123.84,219.63,119.67,15.88,15.88,15.88,15.88,17.64,17.33,15.44,56.0,56.0,56.0,56.0,36.0,54.0,56.0,1.79,1.79,1.79,1.79,2.24,0.67,2.66,147.29500000000002,63.30428129281664,66.26,204.7,135.89833333333334,44.55703471309786,66.26,204.7,158.4825,46.84364624448281,66.26,231.23,187.10520833333337,102.17841228031429,66.26,433.44,180.82666666666668,76.9382252633021,82.37,251.09,167.52083333333331,54.021442789512626,82.37,251.09,187.34458333333336,51.92614219540199,82.37,261.59,226.86562500000002,120.04497912185698,82.37,525.91,15.88,0.0,15.88,15.88,15.88,0.0,15.88,15.88,16.613333333333333,0.88635387312619,15.88,17.64,17.062083333333334,0.7759138972118865,15.88,17.64,56.0,0.0,56.0,56.0,56.0,0.0,56.0,56.0,47.666666666666664,10.072203103706766,36.0,56.0,45.583333333333336,9.71034397649454,36.0,56.0,-2.7099999999999937,-0.03929244599101045,-66.30999999999999,-0.5001885796183148,-82.43999999999998,-0.5544048419636852,-42.14999999999999,-0.38880177105433067,-3.3299999999999983,-0.0388564760793465,-80.18,-0.49326361119655493,-98.54999999999998,-0.5447158965288526,-41.47,-0.33486757105943155,0.0,0.0,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8044093188136601,1.244090569793481,68.85,125.03,249.49,30.77,52.25,88.01,37,2025-01-05 08:00:00
15.88,14.99,56,1017,1.79,212,29,8037,7.13,0.0,4,68.85,85.84,31.19,41.48,1014.71,103.0,3.67,4.75,1736067600,2025-01-05 09:00:00,9,0.7071067811865476,-0.7071067811865475,6,-0.7818314824680299,0.6234898018587334,5,0.8486442574947509,0.5289640103269624,1,0.49999999999999994,0.8660254037844387,1,0.12053668025532305,0.992708874098054,1,0,1,1,0,0,0,66.26,192.21,161.74,133.77,120.98,208.19,79.75,82.37,235.13,198.2,166.44,136.75,237.43,96.54,15.88,15.88,15.88,15.88,17.64,17.33,15.44,56.0,56.0,56.0,56.0,36.0,54.0,56.0,1.79,1.79,1.79,1.79,2.24,0.67,2.66,131.8133333333333,70.06286910102047,66.26,204.7,130.48833333333334,48.59700212103087,66.26,204.7,156.31041666666667,49.77507770650282,66.26,231.23,184.2022916666667,103.53695469856906,66.26,433.44,162.1,85.10459259052914,82.37,251.09,160.80416666666667,58.953530306556196,82.37,251.09,185.22333333333333,55.02996548653543,82.37,261.59,223.7075,121.74313212312634,82.37,525.91,15.88,0.0,15.88,15.88,15.88,0.0,15.88,15.88,16.54,0.8703822248824398,15.88,17.64,17.031875,0.7932927775109744,15.88,17.64,56.0,0.0,56.0,56.0,56.0,0.0,56.0,56.0,48.5,9.890707100936865,36.0,56.0,45.625,9.751431973403431,36.0,56.0,2.589999999999989,0.03908843948083285,-92.89000000000001,-0.5743168047483616,-64.92000000000002,-0.48531060775958745,-52.13000000000001,-0.4308976690362044,3.469999999999999,0.04212698798106107,-112.35999999999999,-0.5669021190716448,-80.6,-0.4842585916846911,-50.91,-0.3722851919561243,0.0,0.0,0.0,0.0,0.0,0.0,-1.7599999999999998,-0.09977324263038545,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009842519685039353,889.2800000000001,-1.5180060921200027,-0.9485554829774366,0.0,0.8020642816369798,1.244090569793481,76.07,163.34,228.2,29.4,55.75,86.26,38,2025-01-05 09:00:00
